Name,Calories
"Crustaceans, crab, blue swimming, lump, pasteurized, refrigerated",83.51
"Squash, summer, green, zucchini, includes skin, raw",17.5
"Squash, summer, yellow, includes skin, raw",20.5
"Squash, winter, butternut, raw",44.92
"Squash, winter, acorn, raw",45.28
"Cabbage, bok choy, raw",18.63
"Cauliflower, raw",25.22
"Collards, raw",42.83
"Brussels sprouts, raw",54.13
"Beets, raw",42.79
"Eggplant, raw",24.22
"Tomatoes, whole, canned, solids and liquids, with salt added",20.81
"Tomato, sauce, canned, with salt added",31.64
"Tomato, paste, canned, without salt added",96.41
"Tomatoes, crushed, canned",35.09
"Tomato, puree, canned",37.8
"Apricot, with skin, raw",45.96
"Melons, honeydew, raw",34.8
"Plantains, ripe, raw",129.63
"Plantains, underripe, raw",144.97
"Chia seeds, dry, raw",503.62
"Bulgur, dry, raw",360.82
"Wild rice, dry, raw",363.86
"Arugula, baby, raw",28.45
"Asparagus, green, raw",25.82
"Avocado, Hass, peeled, raw",214.69
"Rice, black, unenriched, raw",365.25
"Corn, sweet, yellow and white kernels,  fresh, raw",78.7
"Einkorn, grain, dry, raw",357.53
"Farro, pearled, dry, raw",355.51
"Fonio, grain, dry, raw",373.01
"Khorasan, grain, dry, raw",359.6
"Kiwifruit (kiwi), green, peeled, raw",61.78
"Mandarin, seedless, peeled, raw",58.8
"Mango, Tommy Atkins, peeled, raw",65.05
"Mango, Ataulfo, peeled, raw",74.55
"Corn flour, masa harina, white or yellow, dry, raw",371.05
"Pear, Anjou, green, with skin, raw",60.49
"Plum, black, with skin, raw",55.71
"Rice, red, unenriched, dry, raw",364.91
"Sorghum bran, white, unenriched, dry, raw",383.65
"Sorghum flour, white, pearled, unenriched, dry, raw",356.79
"Sorghum grain, white, pearled, unenriched, dry, raw",354.13
"Sorghum, whole grain, white, dry, raw",356.79
"Plantains, overripe, raw",123.82
"Chicken, drumstick, meat and skin, raw",127.55
"Chicken, thigh, meat and skin, raw",190.34
"Chicken, wing, meat and skin, raw",170.17
"Chicken, breast, meat and skin, raw",129.87
"Lamb, ground, raw",239.17
"Bison, ground, raw",161.63
"Beef, short loin (NY strip steak), raw",193.02
"Beef, tenderloin steak, raw",146.1
"Beef, top sirloin steak, raw",143.15
"Pork, chop, center cut, raw",141.45
"Pork, belly, with skin, raw",382.91
